cancer_type_abbr,gene1,gene2,all.high_others_diff,all.high_others_pval.log.rank.5y,all.high_others_log2.HR.5y,two_factors_pval.log.rank.5y,all.high_all.low_log2.HR.5y,high.low_all.low_log2.HR.5y,low.high_all.low_log2.HR.5y
STAD,C8orf4,RGS2,1.51,1.33E-06,1.19,0.003,1.138,0.484,0.654
STAD,C8orf46,FAM9A,1.64,4.81E-06,1.24,0.00779,1.131,0.57,0.561
STAD,CA10,CGB3,1.51,2.62E-06,1.2,0.00075,1.37,0.59,0.78
STAD,CA10,CYP19A1,1.75,1.10E-07,1.32,0.00772,1.144,0.57,0.574
STAD,CA10,LCE2D,1.59,0.000412,1.38,0.0121,1.257,0.451,0.806
STAD,CA10,RTN4RL2,1.56,2.22E-06,1.18,0.00482,1.187,0.566,0.621
STAD,CACNA1I,LCE2D,1.51,0.000632,1.34,0.00721,1.307,0.519,0.788
STAD,CACNA2D3,PASD1,1.51,9.35E-07,1.26,0.00047,1.335,0.789,0.546
STAD,CALB2,HP,1.53,1.99E-06,1.18,0.00416,1.153,0.552,0.6
STAD,CALB2,LCE2D,1.82,0.000146,1.59,0.0056,1.437,0.541,0.896
STAD,CALD1,GABRA3,1.57,3.95E-07,1.27,0.000716,1.413,0.659,0.754
STAD,CALD1,SPANXB1,1.53,5.90E-05,1.2,0.00204,1.332,0.639,0.693
STAD,CALY,LCE2B,1.65,0.00238,1.53,0.00853,1.521,0.492,1.029
STAD,CAMK2A,LCE2D,1.71,0.000326,1.5,0.00637,1.391,0.524,0.867
STAD,CASKIN1,CGB5,1.59,1.42E-08,1.37,0.000211,1.434,0.582,0.853
STAD,CAV1,LCE2D,1.83,0.00106,1.64,0.0016,1.69,0.67,1.02
STAD,CAV1,SPANXB1,1.51,2.43E-05,1.21,0.0019,1.278,0.641,0.637
STAD,CAVIN1,LCE2B,1.69,0.00857,1.64,0.00102,1.902,0.709,1.193
STAD,CAVIN1,PASD1,1.51,6.62E-06,1.21,0.000959,1.368,0.739,0.628
STAD,CAVIN1,PRR9,1.61,5.07E-07,1.36,0.000296,1.483,0.743,0.74
STAD,CBLN4,KPNA7,1.63,3.62E-08,1.41,4.36E-05,1.7,0.958,0.742
STAD,CBLN4,LCE2B,1.54,0.0016,1.58,3.00E-04,1.805,0.807,0.998
STAD,CCBE1,LCE2B,1.68,0.00125,1.54,0.0115,1.467,0.457,1.01
STAD,CCDC136,OLIG3,1.56,1.36E-05,1.19,0.00603,1.145,0.553,0.592
STAD,CCDC152,GH2,1.59,1.37E-06,1.39,0.000289,1.378,0.465,0.913
STAD,CCDC152,LCE2B,1.54,0.0249,1.42,0.00617,1.674,0.531,1.143
STAD,CCDC152,PRR9,1.58,5.51E-06,1.25,0.0015,1.333,0.593,0.74
STAD,CCDC80,LCE2D,1.51,0.00576,1.33,0.0046,1.497,0.563,0.934
STAD,CD109,LCE2B,1.71,0.00353,1.68,0.000809,1.872,0.728,1.144
STAD,CD109,LCE2D,1.61,0.00101,1.5,0.000906,1.645,0.717,0.928
STAD,CD109,SPANXB1,1.53,1.70E-05,1.28,0.000405,1.486,0.782,0.704
STAD,CD300LG,LCE2B,1.65,0.000847,1.52,0.0125,1.413,0.448,0.965
STAD,CD300LG,LCN1,1.53,4.81E-06,1.16,0.0023,1.33,0.625,0.705
STAD,CD36,CRYGC,1.67,2.85E-05,1.25,0.00924,1.166,0.578,0.587
STAD,CD36,LCE2B,1.86,0.00633,1.7,0.00533,1.718,0.546,1.172
STAD,CD36,PRR9,1.5,5.91E-05,1.18,9.00E-04,1.439,0.649,0.79
STAD,CDH10,KRTAP2-3,1.55,6.70E-06,1.17,0.00617,1.121,0.537,0.584
STAD,CDH10,LCE2B,1.82,0.000873,1.67,0.00748,1.565,0.507,1.058
STAD,CDH19,LCE2D,1.64,0.00211,1.41,0.00888,1.398,0.486,0.912
STAD,CDH7,LCE2B,1.52,0.00559,1.4,0.0111,1.47,0.46,1.01
STAD,CDH7,LCE2D,1.68,0.00147,1.45,0.00807,1.418,0.497,0.921
STAD,CDK14,GABRA3,1.6,2.66E-08,1.36,0.000171,1.542,0.783,0.758
STAD,CDK14,RND1,1.68,3.93E-08,1.38,0.000209,1.616,0.863,0.754
STAD,CFH,LCE2B,1.63,0.0171,1.51,0.00487,1.72,0.56,1.16
STAD,CFHR1,GABRA3,1.53,1.43E-06,1.22,0.00153,1.279,0.581,0.698
STAD,CFHR1,KCTD1,1.53,6.67E-06,1.14,0.0056,1.191,0.615,0.577
STAD,CGB2,FGF5,1.5,2.80E-05,1.13,0.00912,1.056,0.534,0.522
STAD,CGB2,IQCJ,1.53,6.34E-06,1.29,0.00127,1.171,0.439,0.733
STAD,CGB2,ISLR,1.7,4.64E-06,1.28,0.00738,1.168,0.616,0.552
STAD,CGB2,ITGA11,1.64,2.19E-06,1.28,0.00357,1.23,0.601,0.63
STAD,CGB2,NCAM2,1.52,1.30E-05,1.16,0.00594,1.119,0.547,0.572
STAD,CGB5,IQCJ,1.63,9.89E-09,1.52,2.60E-05,1.606,0.822,0.784
STAD,CGB5,LCE2D,1.54,0.000351,1.5,0.000272,1.677,0.819,0.858
STAD,CGB5,PCDHB6,1.52,2.36E-08,1.38,4.32E-05,1.592,0.859,0.733
STAD,CGB5,POU6F2,1.55,1.07E-08,1.39,6.91E-05,1.529,0.845,0.684
STAD,CGB5,ZFP92,1.54,9.67E-08,1.3,0.000322,1.391,0.857,0.534
STAD,CGB8,NTN1,1.55,1.10E-06,1.26,0.000696,1.341,0.761,0.58
STAD,CHRFAM7A,FBN3,1.52,3.77E-06,1.16,0.00224,1.318,0.716,0.601
